"round","pid","action","group_size","previous_decision","num_neighbors","session","condition","fluid_dummy","empanel_id"
1,"2Jq2iaa0",1,17,,4,"e1.1_2017-09-03","Fluid",1,"4182985182_78419_01"
1,"7MDqjRqy",1,17,,4,"e1.1_2017-09-03","Fluid",1,"4142237231_78419_01"
1,"DiiMvoac",1,17,,1,"e1.1_2017-09-03","Fluid",1,"4198743191_78419_01"
1,"GfRDSs32",1,17,,1,"e1.1_2017-09-03","Fluid",1,"84031624_23694_01"
1,"HgL5wQXl",1,17,,4,"e1.1_2017-09-03","Fluid",1,"4198723823_78419_01"
1,"ioIMkkv3",1,17,,2,"e1.1_2017-09-03","Fluid",1,"1869068229_78419_01"
1,"jTcyevlw",1,17,,3,"e1.1_2017-09-03","Fluid",1,"4083364193_78914_01"
1,"JxdStep4",1,17,,2,"e1.1_2017-09-03","Fluid",1,"4210175671_78419_01"
1,"mn9JA7Xk",1,17,,3,"e1.1_2017-09-03","Fluid",1,"1686963147_78419_01"
1,"qqUGu3kS",1,17,,3,"e1.1_2017-09-03","Fluid",1,"4191252363_5107_01"
1,"tiUegpsp",1,17,,2,"e1.1_2017-09-03","Fluid",1,"4174335565_78419_01"
1,"tLntXonO",1,17,,3,"e1.1_2017-09-03","Fluid",1,"4182955498_78419_01"
1,"xmxbvHV7",1,17,,4,"e1.1_2017-09-03","Fluid",1,"4191198844_5107_01"
1,"xVhTD9ye",1,17,,3,"e1.1_2017-09-03","Fluid",1,"1936662885_78419_01"
1,"XY8hOWgz",1,17,,3,"e1.1_2017-09-03","Fluid",1,"4198748387_78419_01"
1,"ybzRLCfv",1,17,,5,"e1.1_2017-09-03","Fluid",1,"014897_S01_01"
1,"ZoBQOtGx",1,17,,7,"e1.1_2017-09-03","Fluid",1,"4141904285_78419_01"
2,"2Jq2iaa0",1,17,1,8,"e1.1_2017-09-03","Fluid",1,"4182985182_78419_01"
2,"7MDqjRqy",1,17,1,13,"e1.1_2017-09-03","Fluid",1,"4142237231_78419_01"
2,"DiiMvoac",1,17,1,7,"e1.1_2017-09-03","Fluid",1,"4198743191_78419_01"
2,"GfRDSs32",1,17,1,4,"e1.1_2017-09-03","Fluid",1,"84031624_23694_01"
2,"HgL5wQXl",1,17,1,8,"e1.1_2017-09-03","Fluid",1,"4198723823_78419_01"
2,"ioIMkkv3",1,17,1,5,"e1.1_2017-09-03","Fluid",1,"1869068229_78419_01"
2,"jTcyevlw",1,17,1,6,"e1.1_2017-09-03","Fluid",1,"4083364193_78914_01"
2,"JxdStep4",1,17,1,5,"e1.1_2017-09-03","Fluid",1,"4210175671_78419_01"
2,"mn9JA7Xk",1,17,1,10,"e1.1_2017-09-03","Fluid",1,"1686963147_78419_01"
2,"qqUGu3kS",1,17,1,7,"e1.1_2017-09-03","Fluid",1,"4191252363_5107_01"
2,"tiUegpsp",1,17,1,6,"e1.1_2017-09-03","Fluid",1,"4174335565_78419_01"
2,"tLntXonO",1,17,1,7,"e1.1_2017-09-03","Fluid",1,"4182955498_78419_01"
2,"xmxbvHV7",1,17,1,7,"e1.1_2017-09-03","Fluid",1,"4191198844_5107_01"
2,"xVhTD9ye",1,17,1,6,"e1.1_2017-09-03","Fluid",1,"1936662885_78419_01"
2,"XY8hOWgz",1,17,1,7,"e1.1_2017-09-03","Fluid",1,"4198748387_78419_01"
2,"ybzRLCfv",1,17,1,8,"e1.1_2017-09-03","Fluid",1,"014897_S01_01"
2,"ZoBQOtGx",1,17,1,8,"e1.1_2017-09-03","Fluid",1,"4141904285_78419_01"
1,"2eCW1FlE",1,19,,5,"e1.2_2017-08-24","Fluid",1,"4142230532_78419_01"
1,"5Dc9pgMR",1,19,,3,"e1.2_2017-08-24","Fluid",1,"1869079206_78419_01"
1,"8xSP33VT",1,19,,5,"e1.2_2017-08-24","Fluid",1,"063329_S02_02"
1,"BTEQAhN9",0,19,,5,"e1.2_2017-08-24","Fluid",1,"4141905319_78419_01"
1,"Ch87Xjrk",1,19,,7,"e1.2_2017-08-24","Fluid",1,"4181632737_78419_01"
1,"F4ZIybcz",1,19,,6,"e1.2_2017-08-24","Fluid",1,"4224811348_78419_01"
1,"gtw6tUet",1,19,,5,"e1.2_2017-08-24","Fluid",1,"1682633998_78419_01"
1,"Kku9ydao",1,19,,4,"e1.2_2017-08-24","Fluid",1,"113402_3992_01"
1,"PilybGdJ",1,19,,3,"e1.2_2017-08-24","Fluid",1,"4224793505_78419_01"
1,"raYY3tzu",1,19,,2,"e1.2_2017-08-24","Fluid",1,"4224781187_78419_01"
1,"RqcdeZA7",1,19,,5,"e1.2_2017-08-24","Fluid",1,"81614639_23694_01"
1,"SFeJujX1",1,19,,4,"e1.2_2017-08-24","Fluid",1,"4191252744_5107_01"
1,"SJ4dRWlS",1,19,,3,"e1.2_2017-08-24","Fluid",1,"4098587119_78419_01"
1,"U6TIZF22",1,19,,4,"e1.2_2017-08-24","Fluid",1,"4135950385_78419_01"
1,"V8er8tZD",1,19,,2,"e1.2_2017-08-24","Fluid",1,"4109808109_78419_01"
1,"xA3rMUGc",1,19,,3,"e1.2_2017-08-24","Fluid",1,"4224782522_78419_01"
1,"Xg7pBwAG",1,19,,4,"e1.2_2017-08-24","Fluid",1,"4222256678_78419_01"
1,"xqyUXbmR",1,19,,5,"e1.2_2017-08-24","Fluid",1,"1796202230_78419_01"
1,"YsqB1Gnw",0,19,,3,"e1.2_2017-08-24","Fluid",1,"070133_S02_01"
2,"2eCW1FlE",1,12,1,6,"e1.2_2017-08-24","Fluid",1,"4142230532_78419_01"
2,"5Dc9pgMR",0,12,1,6,"e1.2_2017-08-24","Fluid",1,"1869079206_78419_01"
2,"8xSP33VT",1,12,1,4,"e1.2_2017-08-24","Fluid",1,"063329_S02_02"
2,"BTEQAhN9",1,12,0,2,"e1.2_2017-08-24","Fluid",1,"4141905319_78419_01"
2,"gtw6tUet",1,12,1,6,"e1.2_2017-08-24","Fluid",1,"1682633998_78419_01"
2,"raYY3tzu",1,12,1,5,"e1.2_2017-08-24","Fluid",1,"4224781187_78419_01"
2,"RqcdeZA7",1,12,1,7,"e1.2_2017-08-24","Fluid",1,"81614639_23694_01"
2,"SJ4dRWlS",1,12,1,2,"e1.2_2017-08-24","Fluid",1,"4098587119_78419_01"
2,"U6TIZF22",1,12,1,6,"e1.2_2017-08-24","Fluid",1,"4135950385_78419_01"
2,"V8er8tZD",1,12,1,6,"e1.2_2017-08-24","Fluid",1,"4109808109_78419_01"
2,"xA3rMUGc",1,12,1,3,"e1.2_2017-08-24","Fluid",1,"4224782522_78419_01"
2,"YsqB1Gnw",0,12,0,2,"e1.2_2017-08-24","Fluid",1,"070133_S02_01"
3,"2eCW1FlE",1,12,1,6,"e1.2_2017-08-24","Fluid",1,"4142230532_78419_01"
3,"5Dc9pgMR",0,12,0,2,"e1.2_2017-08-24","Fluid",1,"1869079206_78419_01"
3,"8xSP33VT",1,12,1,4,"e1.2_2017-08-24","Fluid",1,"063329_S02_02"
3,"BTEQAhN9",1,12,1,2,"e1.2_2017-08-24","Fluid",1,"4141905319_78419_01"
3,"gtw6tUet",1,12,1,7,"e1.2_2017-08-24","Fluid",1,"1682633998_78419_01"
3,"raYY3tzu",1,12,1,6,"e1.2_2017-08-24","Fluid",1,"4224781187_78419_01"
3,"RqcdeZA7",1,12,1,7,"e1.2_2017-08-24","Fluid",1,"81614639_23694_01"
3,"SJ4dRWlS",1,12,1,3,"e1.2_2017-08-24","Fluid",1,"4098587119_78419_01"
3,"U6TIZF22",1,12,1,7,"e1.2_2017-08-24","Fluid",1,"4135950385_78419_01"
3,"V8er8tZD",1,12,1,7,"e1.2_2017-08-24","Fluid",1,"4109808109_78419_01"
3,"xA3rMUGc",1,12,1,2,"e1.2_2017-08-24","Fluid",1,"4224782522_78419_01"
3,"YsqB1Gnw",1,12,0,2,"e1.2_2017-08-24","Fluid",1,"070133_S02_01"
4,"2eCW1FlE",1,12,1,9,"e1.2_2017-08-24","Fluid",1,"4142230532_78419_01"
4,"5Dc9pgMR",1,12,0,2,"e1.2_2017-08-24","Fluid",1,"1869079206_78419_01"
4,"8xSP33VT",1,12,1,6,"e1.2_2017-08-24","Fluid",1,"063329_S02_02"
4,"BTEQAhN9",1,12,1,2,"e1.2_2017-08-24","Fluid",1,"4141905319_78419_01"
4,"gtw6tUet",1,12,1,8,"e1.2_2017-08-24","Fluid",1,"1682633998_78419_01"
4,"raYY3tzu",1,12,1,6,"e1.2_2017-08-24","Fluid",1,"4224781187_78419_01"
4,"RqcdeZA7",1,12,1,8,"e1.2_2017-08-24","Fluid",1,"81614639_23694_01"
4,"SJ4dRWlS",1,12,1,5,"e1.2_2017-08-24","Fluid",1,"4098587119_78419_01"
4,"U6TIZF22",1,12,1,8,"e1.2_2017-08-24","Fluid",1,"4135950385_78419_01"
4,"V8er8tZD",1,12,1,8,"e1.2_2017-08-24","Fluid",1,"4109808109_78419_01"
4,"xA3rMUGc",1,12,1,4,"e1.2_2017-08-24","Fluid",1,"4224782522_78419_01"
4,"YsqB1Gnw",1,12,1,5,"e1.2_2017-08-24","Fluid",1,"070133_S02_01"
5,"2eCW1FlE",1,12,1,10,"e1.2_2017-08-24","Fluid",1,"4142230532_78419_01"
5,"5Dc9pgMR",1,12,1,7,"e1.2_2017-08-24","Fluid",1,"1869079206_78419_01"
5,"8xSP33VT",1,12,1,7,"e1.2_2017-08-24","Fluid",1,"063329_S02_02"
5,"BTEQAhN9",1,12,1,2,"e1.2_2017-08-24","Fluid",1,"4141905319_78419_01"
5,"gtw6tUet",1,12,1,10,"e1.2_2017-08-24","Fluid",1,"1682633998_78419_01"
5,"raYY3tzu",1,12,1,7,"e1.2_2017-08-24","Fluid",1,"4224781187_78419_01"
5,"RqcdeZA7",1,12,1,8,"e1.2_2017-08-24","Fluid",1,"81614639_23694_01"
5,"SJ4dRWlS",1,12,1,5,"e1.2_2017-08-24","Fluid",1,"4098587119_78419_01"
5,"U6TIZF22",1,12,1,8,"e1.2_2017-08-24","Fluid",1,"4135950385_78419_01"
5,"V8er8tZD",1,12,1,9,"e1.2_2017-08-24","Fluid",1,"4109808109_78419_01"
5,"xA3rMUGc",1,12,1,4,"e1.2_2017-08-24","Fluid",1,"4224782522_78419_01"
5,"YsqB1Gnw",1,12,1,6,"e1.2_2017-08-24","Fluid",1,"070133_S02_01"
6,"2eCW1FlE",1,12,1,12,"e1.2_2017-08-24","Fluid",1,"4142230532_78419_01"
6,"5Dc9pgMR",1,12,1,9,"e1.2_2017-08-24","Fluid",1,"1869079206_78419_01"
6,"8xSP33VT",1,12,1,7,"e1.2_2017-08-24","Fluid",1,"063329_S02_02"
6,"BTEQAhN9",1,12,1,5,"e1.2_2017-08-24","Fluid",1,"4141905319_78419_01"
6,"gtw6tUet",1,12,1,10,"e1.2_2017-08-24","Fluid",1,"1682633998_78419_01"
6,"raYY3tzu",1,12,1,9,"e1.2_2017-08-24","Fluid",1,"4224781187_78419_01"
6,"RqcdeZA7",1,12,1,9,"e1.2_2017-08-24","Fluid",1,"81614639_23694_01"
6,"SJ4dRWlS",1,12,1,6,"e1.2_2017-08-24","Fluid",1,"4098587119_78419_01"
6,"U6TIZF22",1,12,1,9,"e1.2_2017-08-24","Fluid",1,"4135950385_78419_01"
6,"V8er8tZD",1,12,1,10,"e1.2_2017-08-24","Fluid",1,"4109808109_78419_01"
6,"xA3rMUGc",1,12,1,6,"e1.2_2017-08-24","Fluid",1,"4224782522_78419_01"
6,"YsqB1Gnw",1,12,1,9,"e1.2_2017-08-24","Fluid",1,"070133_S02_01"
7,"2eCW1FlE",1,12,1,12,"e1.2_2017-08-24","Fluid",1,"4142230532_78419_01"
7,"5Dc9pgMR",0,12,1,10,"e1.2_2017-08-24","Fluid",1,"1869079206_78419_01"
7,"8xSP33VT",1,12,1,8,"e1.2_2017-08-24","Fluid",1,"063329_S02_02"
7,"BTEQAhN9",1,12,1,6,"e1.2_2017-08-24","Fluid",1,"4141905319_78419_01"
7,"gtw6tUet",1,12,1,11,"e1.2_2017-08-24","Fluid",1,"1682633998_78419_01"
7,"raYY3tzu",1,12,1,9,"e1.2_2017-08-24","Fluid",1,"4224781187_78419_01"
7,"RqcdeZA7",1,12,1,9,"e1.2_2017-08-24","Fluid",1,"81614639_23694_01"
7,"SJ4dRWlS",1,12,1,7,"e1.2_2017-08-24","Fluid",1,"4098587119_78419_01"
7,"U6TIZF22",1,12,1,11,"e1.2_2017-08-24","Fluid",1,"4135950385_78419_01"
7,"V8er8tZD",1,12,1,10,"e1.2_2017-08-24","Fluid",1,"4109808109_78419_01"
7,"xA3rMUGc",1,12,1,8,"e1.2_2017-08-24","Fluid",1,"4224782522_78419_01"
7,"YsqB1Gnw",1,12,1,10,"e1.2_2017-08-24","Fluid",1,"070133_S02_01"
8,"2eCW1FlE",1,12,1,11,"e1.2_2017-08-24","Fluid",1,"4142230532_78419_01"
8,"5Dc9pgMR",1,12,0,8,"e1.2_2017-08-24","Fluid",1,"1869079206_78419_01"
8,"8xSP33VT",1,12,1,8,"e1.2_2017-08-24","Fluid",1,"063329_S02_02"
8,"BTEQAhN9",1,12,1,8,"e1.2_2017-08-24","Fluid",1,"4141905319_78419_01"
8,"gtw6tUet",1,12,1,11,"e1.2_2017-08-24","Fluid",1,"1682633998_78419_01"
8,"raYY3tzu",1,12,1,10,"e1.2_2017-08-24","Fluid",1,"4224781187_78419_01"
8,"RqcdeZA7",1,12,1,9,"e1.2_2017-08-24","Fluid",1,"81614639_23694_01"
8,"SJ4dRWlS",1,12,1,8,"e1.2_2017-08-24","Fluid",1,"4098587119_78419_01"
8,"U6TIZF22",1,12,1,10,"e1.2_2017-08-24","Fluid",1,"4135950385_78419_01"
8,"V8er8tZD",1,12,1,10,"e1.2_2017-08-24","Fluid",1,"4109808109_78419_01"
8,"xA3rMUGc",1,12,1,9,"e1.2_2017-08-24","Fluid",1,"4224782522_78419_01"
8,"YsqB1Gnw",1,12,1,11,"e1.2_2017-08-24","Fluid",1,"070133_S02_01"
1,"8SAdCbGE",1,16,,1,"e1.3_2017-08-27","Static",0,"4182992005_78419_01"
1,"9hMkPcRq",1,16,,4,"e1.3_2017-08-27","Static",0,"008072_S01_01"
1,"a89vyAFL",1,16,,4,"e1.3_2017-08-27","Static",0,"86042049_23694_01"
1,"dPFSO8By",1,16,,3,"e1.3_2017-08-27","Static",0,"4135954562_78419_01"
1,"DquvgVmC",1,16,,3,"e1.3_2017-08-27","Static",0,"4224830646_78419_01"
1,"FzIxabvl",1,16,,1,"e1.3_2017-08-27","Static",0,"4205985096_78419_01"
1,"GoYFaHgQ",1,16,,1,"e1.3_2017-08-27","Static",0,"4224793530_78419_01"
1,"hEsQGRRN",1,16,,5,"e1.3_2017-08-27","Static",0,"4224814466_78419_01"
1,"iE21c8OI",1,16,,4,"e1.3_2017-08-27","Static",0,"173170_3992_01"
1,"JKD87cdf",1,16,,2,"e1.3_2017-08-27","Static",0,"007314_S01_HH"
1,"JkDj57W3",1,16,,4,"e1.3_2017-08-27","Static",0,"035315_S01_HH"
1,"kJ508QX4",1,16,,7,"e1.3_2017-08-27","Static",0,"147028_3992_01"
1,"PwGBatMI",1,16,,3,"e1.3_2017-08-27","Static",0,"097748_3992_01"
1,"Sx3WY8DF",1,16,,2,"e1.3_2017-08-27","Static",0,"4142236580_78419_01"
1,"XmbAD55J",0,16,,1,"e1.3_2017-08-27","Static",0,"4210176344_78419_01"
1,"ypXlRPy1",0,16,,5,"e1.3_2017-08-27","Static",0,"81616312_23694_01"
2,"8SAdCbGE",1,16,1,1,"e1.3_2017-08-27","Static",0,"4182992005_78419_01"
2,"9hMkPcRq",1,16,1,4,"e1.3_2017-08-27","Static",0,"008072_S01_01"
2,"a89vyAFL",1,16,1,4,"e1.3_2017-08-27","Static",0,"86042049_23694_01"
2,"dPFSO8By",1,16,1,3,"e1.3_2017-08-27","Static",0,"4135954562_78419_01"
2,"DquvgVmC",1,16,1,3,"e1.3_2017-08-27","Static",0,"4224830646_78419_01"
2,"FzIxabvl",1,16,1,1,"e1.3_2017-08-27","Static",0,"4205985096_78419_01"
2,"GoYFaHgQ",0,16,1,1,"e1.3_2017-08-27","Static",0,"4224793530_78419_01"
2,"hEsQGRRN",1,16,1,5,"e1.3_2017-08-27","Static",0,"4224814466_78419_01"
2,"iE21c8OI",1,16,1,4,"e1.3_2017-08-27","Static",0,"173170_3992_01"
2,"JKD87cdf",1,16,1,2,"e1.3_2017-08-27","Static",0,"007314_S01_HH"
2,"JkDj57W3",1,16,1,4,"e1.3_2017-08-27","Static",0,"035315_S01_HH"
2,"kJ508QX4",1,16,1,7,"e1.3_2017-08-27","Static",0,"147028_3992_01"
2,"PwGBatMI",1,16,1,3,"e1.3_2017-08-27","Static",0,"097748_3992_01"
2,"Sx3WY8DF",1,16,1,2,"e1.3_2017-08-27","Static",0,"4142236580_78419_01"
2,"XmbAD55J",1,16,0,1,"e1.3_2017-08-27","Static",0,"4210176344_78419_01"
2,"ypXlRPy1",1,16,0,5,"e1.3_2017-08-27","Static",0,"81616312_23694_01"
1,"16hkBHE1",1,21,,8,"e1.5_2017-09-06","Fluid",1,"4198730040_78419_01"
1,"1RCOHcfE",1,21,,7,"e1.5_2017-09-06","Fluid",1,"111400_3992_01"
1,"2Ls5Rpdm",1,21,,5,"e1.5_2017-09-06","Fluid",1,"4198746100_78419_01"
1,"4MEMPAHc",1,21,,6,"e1.5_2017-09-06","Fluid",1,"4148905031_78419_01"
1,"6eq39r0t",1,21,,5,"e1.5_2017-09-06","Fluid",1,"1590401214_78419_01"
1,"7tq3tbUd",0,21,,8,"e1.5_2017-09-06","Fluid",1,"1586698951_78419_01"
1,"Aosqpm7K",1,21,,6,"e1.5_2017-09-06","Fluid",1,"4198745311_78419_01"
1,"c6i3AAwk",1,21,,7,"e1.5_2017-09-06","Fluid",1,"4198734039_78419_01"
1,"ctPYgH2O",1,21,,4,"e1.5_2017-09-06","Fluid",1,"4209524955_78419_01"
1,"Gvw2kAUr",1,21,,3,"e1.5_2017-09-06","Fluid",1,"006297_S01_HH"
1,"HDIRa6VS",1,21,,7,"e1.5_2017-09-06","Fluid",1,"4135951463_78419_01"
1,"L3XqYDJz",1,21,,6,"e1.5_2017-09-06","Fluid",1,"008751_S01_HH"
1,"LYgovvuG",1,21,,7,"e1.5_2017-09-06","Fluid",1,"028085_S01_HH"
1,"OmtdCXCq",1,21,,7,"e1.5_2017-09-06","Fluid",1,"4224774627_78419_01"
1,"QqZJQqSV",1,21,,5,"e1.5_2017-09-06","Fluid",1,"1104441209_23694_01"
1,"S9a33uXU",1,21,,4,"e1.5_2017-09-06","Fluid",1,"4191195351_5107_01"
1,"uaj5qefo",1,21,,4,"e1.5_2017-09-06","Fluid",1,"4209514667_78419_01"
1,"uXJWcSH5",1,21,,8,"e1.5_2017-09-06","Fluid",1,"025702_S01_HH"
1,"VJyZMbUX",0,21,,6,"e1.5_2017-09-06","Fluid",1,"4210177559_78419_01"
1,"Xu1iETkg",1,21,,4,"e1.5_2017-09-06","Fluid",1,"4198746872_78419_01"
1,"ZZXk3eCC",1,21,,9,"e1.5_2017-09-06","Fluid",1,"4183007714_78419_01"
2,"16hkBHE1",1,21,1,13,"e1.5_2017-09-06","Fluid",1,"4198730040_78419_01"
2,"1RCOHcfE",1,21,1,10,"e1.5_2017-09-06","Fluid",1,"111400_3992_01"
2,"2Ls5Rpdm",1,21,1,11,"e1.5_2017-09-06","Fluid",1,"4198746100_78419_01"
2,"4MEMPAHc",1,21,1,9,"e1.5_2017-09-06","Fluid",1,"4148905031_78419_01"
2,"6eq39r0t",1,21,1,12,"e1.5_2017-09-06","Fluid",1,"1590401214_78419_01"
2,"7tq3tbUd",0,21,0,9,"e1.5_2017-09-06","Fluid",1,"1586698951_78419_01"
2,"Aosqpm7K",1,21,1,8,"e1.5_2017-09-06","Fluid",1,"4198745311_78419_01"
2,"c6i3AAwk",1,21,1,8,"e1.5_2017-09-06","Fluid",1,"4198734039_78419_01"
2,"ctPYgH2O",1,21,1,10,"e1.5_2017-09-06","Fluid",1,"4209524955_78419_01"
2,"Gvw2kAUr",0,21,1,10,"e1.5_2017-09-06","Fluid",1,"006297_S01_HH"
2,"HDIRa6VS",1,21,1,12,"e1.5_2017-09-06","Fluid",1,"4135951463_78419_01"
2,"L3XqYDJz",1,21,1,7,"e1.5_2017-09-06","Fluid",1,"008751_S01_HH"
2,"LYgovvuG",1,21,1,10,"e1.5_2017-09-06","Fluid",1,"028085_S01_HH"
2,"OmtdCXCq",1,21,1,10,"e1.5_2017-09-06","Fluid",1,"4224774627_78419_01"
2,"QqZJQqSV",1,21,1,9,"e1.5_2017-09-06","Fluid",1,"1104441209_23694_01"
2,"S9a33uXU",1,21,1,10,"e1.5_2017-09-06","Fluid",1,"4191195351_5107_01"
2,"uaj5qefo",1,21,1,11,"e1.5_2017-09-06","Fluid",1,"4209514667_78419_01"
2,"uXJWcSH5",1,21,1,10,"e1.5_2017-09-06","Fluid",1,"025702_S01_HH"
2,"VJyZMbUX",1,21,0,6,"e1.5_2017-09-06","Fluid",1,"4210177559_78419_01"
2,"Xu1iETkg",1,21,1,8,"e1.5_2017-09-06","Fluid",1,"4198746872_78419_01"
2,"ZZXk3eCC",1,21,1,13,"e1.5_2017-09-06","Fluid",1,"4183007714_78419_01"
3,"16hkBHE1",1,21,1,15,"e1.5_2017-09-06","Fluid",1,"4198730040_78419_01"
3,"1RCOHcfE",1,21,1,12,"e1.5_2017-09-06","Fluid",1,"111400_3992_01"
3,"2Ls5Rpdm",1,21,1,12,"e1.5_2017-09-06","Fluid",1,"4198746100_78419_01"
3,"4MEMPAHc",1,21,1,14,"e1.5_2017-09-06","Fluid",1,"4148905031_78419_01"
3,"6eq39r0t",1,21,1,16,"e1.5_2017-09-06","Fluid",1,"1590401214_78419_01"
3,"7tq3tbUd",0,21,0,9,"e1.5_2017-09-06","Fluid",1,"1586698951_78419_01"
3,"Aosqpm7K",1,21,1,13,"e1.5_2017-09-06","Fluid",1,"4198745311_78419_01"
3,"c6i3AAwk",1,21,1,13,"e1.5_2017-09-06","Fluid",1,"4198734039_78419_01"
3,"ctPYgH2O",1,21,1,15,"e1.5_2017-09-06","Fluid",1,"4209524955_78419_01"
3,"Gvw2kAUr",1,21,0,10,"e1.5_2017-09-06","Fluid",1,"006297_S01_HH"
3,"HDIRa6VS",1,21,1,12,"e1.5_2017-09-06","Fluid",1,"4135951463_78419_01"
3,"L3XqYDJz",1,21,1,11,"e1.5_2017-09-06","Fluid",1,"008751_S01_HH"
3,"LYgovvuG",1,21,1,11,"e1.5_2017-09-06","Fluid",1,"028085_S01_HH"
3,"OmtdCXCq",1,21,1,11,"e1.5_2017-09-06","Fluid",1,"4224774627_78419_01"
3,"QqZJQqSV",1,21,1,13,"e1.5_2017-09-06","Fluid",1,"1104441209_23694_01"
3,"S9a33uXU",1,21,1,14,"e1.5_2017-09-06","Fluid",1,"4191195351_5107_01"
3,"uaj5qefo",1,21,1,13,"e1.5_2017-09-06","Fluid",1,"4209514667_78419_01"
3,"uXJWcSH5",1,21,1,13,"e1.5_2017-09-06","Fluid",1,"025702_S01_HH"
3,"VJyZMbUX",1,21,1,11,"e1.5_2017-09-06","Fluid",1,"4210177559_78419_01"
3,"Xu1iETkg",1,21,1,11,"e1.5_2017-09-06","Fluid",1,"4198746872_78419_01"
3,"ZZXk3eCC",1,21,1,15,"e1.5_2017-09-06","Fluid",1,"4183007714_78419_01"
4,"16hkBHE1",1,21,1,15,"e1.5_2017-09-06","Fluid",1,"4198730040_78419_01"
4,"1RCOHcfE",1,21,1,13,"e1.5_2017-09-06","Fluid",1,"111400_3992_01"
4,"2Ls5Rpdm",1,21,1,12,"e1.5_2017-09-06","Fluid",1,"4198746100_78419_01"
4,"4MEMPAHc",1,21,1,14,"e1.5_2017-09-06","Fluid",1,"4148905031_78419_01"
4,"6eq39r0t",1,21,1,16,"e1.5_2017-09-06","Fluid",1,"1590401214_78419_01"
4,"7tq3tbUd",0,21,0,8,"e1.5_2017-09-06","Fluid",1,"1586698951_78419_01"
4,"Aosqpm7K",1,21,1,16,"e1.5_2017-09-06","Fluid",1,"4198745311_78419_01"
4,"c6i3AAwk",1,21,1,14,"e1.5_2017-09-06","Fluid",1,"4198734039_78419_01"
4,"ctPYgH2O",1,21,1,16,"e1.5_2017-09-06","Fluid",1,"4209524955_78419_01"
4,"Gvw2kAUr",1,21,1,13,"e1.5_2017-09-06","Fluid",1,"006297_S01_HH"
4,"HDIRa6VS",0,21,1,14,"e1.5_2017-09-06","Fluid",1,"4135951463_78419_01"
4,"L3XqYDJz",1,21,1,15,"e1.5_2017-09-06","Fluid",1,"008751_S01_HH"
4,"LYgovvuG",1,21,1,11,"e1.5_2017-09-06","Fluid",1,"028085_S01_HH"
4,"OmtdCXCq",1,21,1,11,"e1.5_2017-09-06","Fluid",1,"4224774627_78419_01"
4,"QqZJQqSV",1,21,1,16,"e1.5_2017-09-06","Fluid",1,"1104441209_23694_01"
4,"S9a33uXU",1,21,1,16,"e1.5_2017-09-06","Fluid",1,"4191195351_5107_01"
4,"uaj5qefo",1,21,1,16,"e1.5_2017-09-06","Fluid",1,"4209514667_78419_01"
4,"uXJWcSH5",1,21,1,14,"e1.5_2017-09-06","Fluid",1,"025702_S01_HH"
4,"VJyZMbUX",1,21,1,13,"e1.5_2017-09-06","Fluid",1,"4210177559_78419_01"
4,"Xu1iETkg",1,21,1,13,"e1.5_2017-09-06","Fluid",1,"4198746872_78419_01"
4,"ZZXk3eCC",1,21,1,16,"e1.5_2017-09-06","Fluid",1,"4183007714_78419_01"
5,"16hkBHE1",1,21,1,16,"e1.5_2017-09-06","Fluid",1,"4198730040_78419_01"
5,"1RCOHcfE",1,21,1,15,"e1.5_2017-09-06","Fluid",1,"111400_3992_01"
5,"2Ls5Rpdm",1,21,1,13,"e1.5_2017-09-06","Fluid",1,"4198746100_78419_01"
5,"4MEMPAHc",1,21,1,17,"e1.5_2017-09-06","Fluid",1,"4148905031_78419_01"
5,"6eq39r0t",1,21,1,19,"e1.5_2017-09-06","Fluid",1,"1590401214_78419_01"
5,"7tq3tbUd",1,21,0,6,"e1.5_2017-09-06","Fluid",1,"1586698951_78419_01"
5,"Aosqpm7K",0,21,1,17,"e1.5_2017-09-06","Fluid",1,"4198745311_78419_01"
5,"c6i3AAwk",1,21,1,15,"e1.5_2017-09-06","Fluid",1,"4198734039_78419_01"
5,"ctPYgH2O",1,21,1,17,"e1.5_2017-09-06","Fluid",1,"4209524955_78419_01"
5,"Gvw2kAUr",1,21,1,15,"e1.5_2017-09-06","Fluid",1,"006297_S01_HH"
5,"HDIRa6VS",1,21,0,13,"e1.5_2017-09-06","Fluid",1,"4135951463_78419_01"
