"","playerid","group","round_num","group_connect","connect","condition","sessionnum","ingroup","biased","identities"
"1",1,3,4,3,1,"Biased-4","1",1,1,1
"2",1,3,4,1,1,"Biased-4","1",0,1,1
"3",1,3,4,0,1,"Biased-4","1",0,1,1
"4",1,3,8,3,1,"Biased-4","1",1,1,1
"5",1,3,8,0,1,"Biased-4","1",0,1,1
"6",1,3,12,0,1,"Biased-4","1",0,1,1
"7",1,3,12,3,1,"Biased-4","1",1,1,1
"8",2,0,4,1,1,"Biased-4","1",0,1,1
"9",2,0,4,3,1,"Biased-4","1",0,1,1
"10",2,0,4,0,1,"Biased-4","1",1,1,1
"11",2,0,8,0,1,"Biased-4","1",1,1,1
"12",2,0,8,1,1,"Biased-4","1",0,1,1
"13",2,0,8,3,1,"Biased-4","1",0,1,1
"14",2,0,12,1,1,"Biased-4","1",0,1,1
"15",2,0,12,0,1,"Biased-4","1",1,1,1
"16",2,0,12,3,1,"Biased-4","1",0,1,1
"17",3,3,4,3,1,"Biased-4","1",1,1,1
"18",3,3,4,0,1,"Biased-4","1",0,1,1
"19",3,3,4,2,0,"Biased-4","1",0,1,1
"20",3,3,4,1,1,"Biased-4","1",0,1,1
"21",3,3,8,0,1,"Biased-4","1",0,1,1
"22",3,3,8,3,1,"Biased-4","1",1,1,1
"23",3,3,12,3,1,"Biased-4","1",1,1,1
"24",3,3,12,0,1,"Biased-4","1",0,1,1
"25",4,0,4,3,1,"Biased-4","1",0,1,1
"26",4,0,4,0,1,"Biased-4","1",1,1,1
"27",4,0,4,1,1,"Biased-4","1",0,1,1
"28",4,0,8,0,1,"Biased-4","1",1,1,1
"29",4,0,8,1,1,"Biased-4","1",0,1,1
"30",4,0,8,3,0,"Biased-4","1",0,1,1
"31",4,0,12,0,1,"Biased-4","1",1,1,1
"32",4,0,12,3,1,"Biased-4","1",0,1,1
"33",4,0,12,1,1,"Biased-4","1",0,1,1
"34",5,0,4,0,1,"Biased-4","1",1,1,1
"35",5,0,4,1,1,"Biased-4","1",0,1,1
"36",5,0,4,3,1,"Biased-4","1",0,1,1
"37",5,0,8,0,1,"Biased-4","1",1,1,1
"38",5,0,8,3,1,"Biased-4","1",0,1,1
"39",5,0,12,3,1,"Biased-4","1",0,1,1
"40",5,0,12,0,1,"Biased-4","1",1,1,1
"41",6,1,4,1,1,"Biased-4","1",1,1,1
"42",6,1,4,2,0,"Biased-4","1",0,1,1
"43",6,1,4,0,1,"Biased-4","1",0,1,1
"44",6,1,4,3,1,"Biased-4","1",0,1,1
"45",6,1,8,3,1,"Biased-4","1",0,1,1
"46",6,1,8,0,1,"Biased-4","1",0,1,1
"47",6,1,8,2,1,"Biased-4","1",0,1,1
"48",6,2,12,3,1,"Biased-4","1",0,1,1
"49",6,2,12,2,1,"Biased-4","1",1,1,1
"50",6,2,12,0,1,"Biased-4","1",0,1,1
"51",7,3,4,0,1,"Biased-4","1",0,1,1
"52",7,3,4,3,1,"Biased-4","1",1,1,1
"53",7,2,8,3,1,"Biased-4","1",0,1,1
"54",7,2,8,0,1,"Biased-4","1",0,1,1
"55",7,2,12,3,1,"Biased-4","1",0,1,1
"56",8,2,4,3,1,"Biased-4","1",0,1,1
"57",8,2,4,1,1,"Biased-4","1",0,1,1
"58",8,2,8,3,1,"Biased-4","1",0,1,1
"59",8,2,12,3,0,"Biased-4","1",0,1,1
"60",9,3,4,3,1,"Biased-4","1",1,1,1
"61",9,3,4,0,1,"Biased-4","1",0,1,1
"62",9,3,8,3,1,"Biased-4","1",1,1,1
"63",9,3,12,3,1,"Biased-4","1",1,1,1
"64",10,3,4,2,0,"Biased-4","1",0,1,1
"65",10,3,4,1,1,"Biased-4","1",0,1,1
"66",10,3,4,0,1,"Biased-4","1",0,1,1
"67",10,3,4,3,1,"Biased-4","1",1,1,1
"68",10,3,8,0,1,"Biased-4","1",0,1,1
"69",10,3,8,3,1,"Biased-4","1",1,1,1
"70",10,3,12,3,1,"Biased-4","1",1,1,1
"71",10,3,12,0,1,"Biased-4","1",0,1,1
"72",11,2,4,2,0,"Biased-4","1",1,1,1
"73",11,2,4,0,1,"Biased-4","1",0,1,1
"74",11,2,4,3,1,"Biased-4","1",0,1,1
"75",11,2,4,1,1,"Biased-4","1",0,1,1
"76",11,2,8,3,1,"Biased-4","1",0,1,1
"77",11,2,12,3,1,"Biased-4","1",0,1,1
"78",12,3,4,3,1,"Biased-4","1",1,1,1
"79",12,3,4,0,1,"Biased-4","1",0,1,1
"80",12,3,4,2,1,"Biased-4","1",0,1,1
"81",12,3,8,3,1,"Biased-4","1",1,1,1
"82",12,3,8,2,1,"Biased-4","1",0,1,1
"83",12,3,12,2,1,"Biased-4","1",0,1,1
"84",12,3,12,3,1,"Biased-4","1",1,1,1
"85",13,3,4,1,1,"Biased-4","1",0,1,1
"86",13,3,4,3,1,"Biased-4","1",1,1,1
"87",13,2,8,3,1,"Biased-4","1",0,1,1
"88",13,2,12,3,1,"Biased-4","1",0,1,1
"89",14,3,4,3,1,"Biased-4","1",1,1,1
"90",14,3,4,2,1,"Biased-4","1",0,1,1
"91",14,1,8,3,1,"Biased-4","1",0,1,1
"92",14,1,8,2,0,"Biased-4","1",0,1,1
"93",15,3,4,2,1,"Biased-4","1",0,1,1
"94",15,3,4,3,1,"Biased-4","1",1,1,1
"95",15,3,8,3,1,"Biased-4","1",1,1,1
"96",15,3,8,2,1,"Biased-4","1",0,1,1
"97",15,3,12,2,1,"Biased-4","1",0,1,1
"98",15,3,12,3,1,"Biased-4","1",1,1,1
"99",16,2,4,2,1,"Biased-4","1",1,1,1
"100",16,2,4,1,1,"Biased-4","1",0,1,1
"101",16,2,4,3,0,"Biased-4","1",0,1,1
"102",16,2,8,1,1,"Biased-4","1",0,1,1
"103",16,2,8,2,1,"Biased-4","1",1,1,1
"104",16,2,8,3,1,"Biased-4","1",0,1,1
"105",16,2,12,3,1,"Biased-4","1",0,1,1
"106",16,2,12,1,1,"Biased-4","1",0,1,1
"107",17,2,4,3,1,"Biased-4","1",0,1,1
"108",17,2,4,0,1,"Biased-4","1",0,1,1
"109",17,2,4,2,1,"Biased-4","1",1,1,1
"110",17,0,12,3,1,"Biased-4","1",0,1,1
"111",17,0,12,2,1,"Biased-4","1",0,1,1
"112",18,3,4,3,1,"Biased-4","1",1,1,1
"113",18,3,4,1,1,"Biased-4","1",0,1,1
"114",18,3,8,1,1,"Biased-4","1",0,1,1
"115",18,3,8,3,1,"Biased-4","1",1,1,1
"116",18,3,12,1,0,"Biased-4","1",0,1,1
"117",18,3,12,3,1,"Biased-4","1",1,1,1
"118",19,2,4,1,1,"Biased-4","1",0,1,1
"119",19,2,4,3,1,"Biased-4","1",0,1,1
"120",19,2,4,0,1,"Biased-4","1",0,1,1
"121",19,3,8,3,1,"Biased-4","1",1,1,1
"122",19,0,12,3,1,"Biased-4","1",0,1,1
"123",20,3,4,0,0,"Biased-4","1",0,1,1
"124",20,3,4,3,1,"Biased-4","1",1,1,1
"125",20,3,4,2,1,"Biased-4","1",0,1,1
"126",20,3,8,0,1,"Biased-4","1",0,1,1
"127",20,3,8,3,1,"Biased-4","1",1,1,1
"128",20,3,8,2,1,"Biased-4","1",0,1,1
"129",20,3,12,3,1,"Biased-4","1",1,1,1
"130",20,3,12,0,1,"Biased-4","1",0,1,1
"131",20,3,12,2,1,"Biased-4","1",0,1,1
